"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"EID2",0.0166913453093245,3.10243825701853,0.765277328251113,0.445007479619134,0.551090567957545,-7.09348739629157
"FEZF2",0.0166817944048688,0.0146899383565263,0.216447469276905,0.828859322413885,0.874376725262391,-7.36278686259368
"DERL1",0.0166650788296971,3.40834314978145,1.14632119397473,0.253030309546458,0.348374813314477,-6.73057249740883
"OR10J3",-0.01665428609083,-0.0146657146172981,-0.618730968901225,0.536796842170913,0.636893144523438,-7.1947750479253
"KIAA1467",-0.0166258994201689,2.89150115877289,-0.403926783736921,0.686697623153918,0.763624733964716,-7.30459338734743
"IFNA1",-0.0166257852880222,-0.0525894943091561,-0.173966032847899,0.862067910122695,0.900374852653331,-7.37108796534485
"VPS28",0.0166230078041494,3.50662189525618,0.801725465364248,0.423662186837022,0.530591468424663,-7.06498340565479
"C17orf85",-0.0166163351079986,3.21293687762961,-0.962898378401452,0.336759917585481,0.440237196069388,-6.92316442695646
"ANKS6",0.0166056867750912,3.20566295184467,0.774245297618272,0.43969896594039,0.545976137706964,-7.0865963090098
"PSMD10",-0.0166014508229311,3.31039309152747,-0.962759529722539,0.336829435548093,0.440286063552778,-6.9232976572491
"DIO2",-0.0165794987653358,2.93017058884555,-0.143850521998662,0.885763176388665,0.917734267438325,-7.37587875370158
"ERCC6",-0.0165745510988975,2.93063713870454,-0.66254260287358,0.508385423388123,0.611039552605563,-7.16673147274347
"MAT2A",0.016572249099668,3.55564138888292,1.3683748293217,0.172728188416711,0.252385303805754,-6.45325045732183
"OR2A12",-0.0165530067767082,-0.0145765283556087,-0.637288280706485,0.524665075006369,0.62577839162198,-7.18312979085252
"OR6M1",0.0165409892523367,-0.0222743751299561,0.517944374123553,0.605068872716681,0.696927069344822,-7.25203180570137
"EEFSEC",-0.0165339916185832,3.2016061577006,-0.825876945763892,0.409856826331846,0.517580053106036,-7.04537022581507
"GLOD4",0.016527371196442,3.36908818825357,1.09430406434276,0.275136269597926,0.373150556512842,-6.78855352260486
"NPEPPS",-0.0165233240599405,3.40736969761784,-0.853243288781649,0.394543915573194,0.501890943924968,-7.02244772503334
"H1FOO",0.0165129317663813,0.0519810987250396,0.215322864011556,0.82973476589096,0.875025396036672,-7.36302988547017
"PEX6",0.0165076214271584,3.3146224131572,0.6864314763528,0.493235174146831,0.596983722399711,-7.15063593997649
"NUP214",-0.0165034413627594,3.36658975062294,-1.26584462382661,0.207039541662408,0.294793985165966,-6.58729011536025
"GOSR1",-0.0164986590209533,3.30488696881711,-1.15977250894205,0.247522487264073,0.342241364131902,-6.7151465321624
"GTPBP10",0.0164856509253788,2.98093799501937,0.808427806111787,0.419803798267286,0.52700388355869,-7.05959846908682
"ANKRD17",-0.0164734454462252,3.40968714053591,-0.76594660462527,0.444610040026373,0.550690643103649,-7.09297587274042
"PPP1R9A",0.0164712737131327,3.14033530068432,0.299762043071413,0.764669613940249,0.822847647243934,-7.34126430411558
"CABP2",-0.0164648938965484,-0.0144989364163635,-0.561165988345545,0.575311850355733,0.672025337459763,-7.22871719340991
"PPFIA1",-0.0164444850789796,3.28846308743254,-0.800205633254166,0.424540019237792,0.531426632355619,-7.06619830603855
"RBCK1",0.0164341080512846,3.48187112688654,1.15213310641602,0.250640078730145,0.345698030560654,-6.72392918476277
"SPTY2D1",-0.0164287878301415,3.19089416896365,-0.782382545396444,0.434914034728418,0.541285449559159,-7.08027450304661
"UQCRB",-0.0164225486080087,3.6067102535739,-0.980838612749015,0.32785593552476,0.43067959300909,-6.90579003429101
"ORC3L",-0.0164145056223228,3.1935772169052,-0.858838428769507,0.391456613862132,0.498530128669394,-7.01766980752553
"FGF6",-0.0164078262723298,-0.0144486828368277,-0.633074502955006,0.527407350560191,0.628008362650736,-7.18580413689221
"SDHAP3",0.0164073325053535,2.85069038962746,0.469922288082924,0.63892191606102,0.724123483157796,-7.27575116628788
"LOC91316",-0.0164016518004075,3.03656559065938,-0.451884655976831,0.651841183667354,0.735579979396363,-7.28406598500639
"IRGC",-0.0163979826959249,-0.143942237677809,-0.15192997174207,0.879395138248054,0.913343543492245,-7.37468256591148
"CALM1",0.016386830317475,3.68184528587157,1.33554063362289,0.183215601584554,0.265247330090548,-6.49729106874901
"MS4A4A",-0.0163814482856925,2.56815691802472,-0.205893374561507,0.837083384392074,0.881060181262324,-7.36501777561745
"RPL23AP7",-0.0163808320873557,2.68854779421729,-0.484351515188605,0.628665782523204,0.715922248297547,-7.26886597035524
"RPS18",-0.0163715679990042,3.91779234650782,-1.20733830939754,0.228726112285081,0.320162537417106,-6.65917479420979
"SMPD3",-0.0163563917042575,2.72386931438101,-0.193247178335576,0.846961270758757,0.888606698849258,-7.36754413240093
